113學年度大學分發入學    各系組最低錄取標準及錄取人數一覽表,,,,,,
"系組
代碼",校名,系組名,採計及加權,"錄取人數
(含外加)","普通生
錄取分數","原住民
錄取分數"
0105,國立臺灣大學,生化科技學系,化x1.00 數甲x1.00 物x1.00 生x1.00 英x1.00,22,241.00,-----
0106,國立臺灣大學,國際體育運動事務學士學位學程,英x2.00 國x1.25 數Bx1.00 公x1.00,2,265.00,-----
0107,國立臺灣師範大學,教育學系,英x1.50 國x1.50 歷x1.00 地x1.00 數Bx1.00,23,275.00,287.35
0110,國立臺灣師範大學,教育心理與輔導學系,英x1.25 數Bx1.25 國x1.00 公x1.00 歷x1.00,8,278.75,318.20
0111,國立臺灣師範大學,社會教育學系,公x1.50 國x1.50 英x1.50 歷x1.00 地x1.00,26,311.00,-----
0112,國立臺灣師範大學,健康促進與衛生教育學系,英x1.50 生x1.50 數甲x1.00 國x1.00,18,213.00,238.15
0113,國立臺灣師範大學,幼兒與家庭科學學系家庭生活與教育組,英x2.00 數Bx2.00 國x1.75 公x1.00,5,290.75,-----
0114,國立臺灣師範大學,幼兒與家庭科學學系幼兒發展與教育組,英x2.00 國x2.00 數Bx1.75 公x1.00,7,295.50,-----
0115,國立臺灣師範大學,公民教育與活動領導學系,公x2.00 國x1.25 英x1.25 數Bx1.00,40,248.00,256.10
0116,國立臺灣師範大學,特殊教育學系,國x1.25 英x1.25 公x1.00,13,169.75,-----
0117,國立臺灣師範大學,學習科學學士學位學程,數甲x2.00 國x1.50 英x1.50,6,223.50,-----
0120,國立臺灣師範大學,教育學院學士班,英x1.25 國x1.00 公x1.00,6,160.50,-----
0121,國立臺灣師範大學,國文學系,國x2.00 英x1.50 歷x1.00 地x1.00,44,263.00,273.50
0122,國立臺灣師範大學,英語學系,英x2.00 國x1.50 數Bx1.00 歷x1.00 地x1.00,32,299.00,-----
0123,國立臺灣師範大學,歷史學系,歷x1.50 國x1.25 英x1.25 地x1.00 數Bx1.00,33,269.00,269.45
0124,國立臺灣師範大學,地理學系,地x1.50 英x1.25 歷x1.00 數Bx1.00 國x1.00,23,262.00,262.85
0125,國立臺灣師範大學,臺灣語文學系,英x1.50 公x1.50 國x1.00 歷x1.50 地x1.00,9,308.50,-----
0126,國立臺灣師範大學,數學系,數甲x2.00 英x1.00 物x1.00,40,159.00,-----
0127,國立臺灣師範大學,物理學系,物x1.50 數甲x1.25 英x1.00,15,163.50,-----
0130,國立臺灣師範大學,化學系,化x1.75 物x1.50 數甲x1.25 英x1.00,36,233.50,-----
0131,國立臺灣師範大學,生命科學系,生x1.50 化x1.25 英x1.25 數Ax1.00 國x1.00,35,265.25,303.55
0132,國立臺灣師範大學,地球科學系,數甲x2.00 物x2.00 化x1.50 英x1.00,14,253.50,-----
0133,國立臺灣師範大學,資訊工程學系,數甲x1.50 英x1.50 物x1.00 國x1.00 化x1.00,11,277.50,-----
0134,國立臺灣師範大學,營養科學學士學位學程,化x1.50 生x1.50 英x1.50 數Ax1.00 國x1.00,16,280.00,-----
0135,國立臺灣師範大學,工業教育學系,數甲x1.50 英x1.00 國x1.00,1,160.50,-----
0136,國立臺灣師範大學,科技應用與人力資源發展學系,數甲x1.25 英x1.25 物x1.00 化x1.00 國x1.00,12,228.25,-----
0137,國立臺灣師範大學,圖文傳播學系,英x1.25 國x1.25 數甲x1.00 物x1.00 化x1.00,13,221.75,-----
0140,國立臺灣師範大學,機電工程學系,數甲x2.00 物x2.00 英x1.50 化x1.00 國x1.00,15,325.00,-----
"系組
代碼",校名,系組名,採計及加權,"錄取人數
(含外加)","普通生
錄取分數","原住民
錄取分數"
0141,國立臺灣師範大學,電機工程學系,數甲x1.00 物x1.00 英x1.00 化x1.00 國x1.00,16,234.00,-----
0142,國立臺灣師範大學,車輛與能源工程學士學位學程,數Ax1.50 物x1.50 英x1.00 國x1.00,4,221.50,-----
0143,國立臺灣師範大學,光電工程學士學位學程,物x2.00 數Ax2.00 化x1.50 英x1.00 國x1.00,12,338.00,-----
0144,國立臺灣師範大學,華語文教學系應用華語文學組,英x2.00 國x2.00 歷x1.00,11,247.00,-----
0145,國立臺灣師範大學,東亞學系,英x2.00 國x1.50 數Bx1.00 公x1.00 歷x1.00,15,295.50,-----
0146,國立臺灣師範大學,企業管理學系,英x2.00 國x1.50 公x1.00,25,217.00,-----
0147,國立臺灣師範大學,設計學系產品設計組,英x2.00 國x2.00 數Bx2.00 自x1.00 物x1.00,9,359.00,-----
0150,國立臺灣師範大學,音樂學系,術x2.00 英x1.00 國x1.00 歷x1.00,3,285.82,-----
0151,國立臺灣師範大學,表演藝術學士學位學程,國x1.75 歷x1.50 英x1.25,5,215.75,-----
0152,國立臺灣師範大學,設計學系視覺設計組,術x2.00 英x1.75 國x1.75 歷x1.00,5,357.60,-----
0153,國立臺灣師範大學,美術學系繪畫組,術x1.50 國x1.00 英x1.00 歷x1.00,7,252.24,260.86
0154,國立臺灣師範大學,美術學系水墨畫組,術x1.50 國x1.00 英x1.00 歷x1.00,5,242.75,-----
0155,國立臺灣師範大學,體育與運動科學系,英x2.00 生x1.50 國x1.50 數Bx1.00,7,261.00,-----
0156,國立中興大學,中國文學系,國x2.00 英x1.50 歷x1.25,25,215.25,-----
0157,國立中興大學,外國語文學系,英x2.00 國x1.00 歷x1.00,34,189.00,-----
0160,國立中興大學,歷史學系,歷x1.50 國x1.00 英x1.00 地x1.00,26,209.00,215.25
0161,國立中興大學,台灣人文創新學士學位學程,國x2.00 歷x1.50 英x1.00 地x1.50,4,287.50,-----
0162,國立中興大學,財務金融學系,英x2.00 數甲x2.00 國x1.00,31,220.00,226.80
0163,國立中興大學,企業管理學系,英x2.00 數Bx2.00 國x1.00 公x1.00,30,260.00,-----
0164,國立中興大學,資訊管理學系,數甲x2.00 英x2.00 國x1.00,23,222.00,-----
0165,國立中興大學,會計學系,數Ax2.00 英x2.00 國x1.00 公x1.00,26,255.00,-----
0166,國立中興大學,行銷學系,國x2.00 英x1.00 歷x1.00 地x1.00,22,238.00,-----
0167,國立中興大學,應用經濟學系,英x2.00 數甲x1.50 國x1.00,32,196.00,-----
0170,國立中興大學,法律學系,國x1.50 英x1.00 數Bx1.00 公x1.50 歷x1.00,21,290.00,296.75
0171,國立中興大學,化學系,化x2.00 數甲x2.00 英x1.50 物x1.00 國x1.00,25,325.50,-----
0172,國立中興大學,物理學系一般物理組,物x1.50 數甲x1.50 英x1.50 化x1.00 國x1.00,13,280.50,-----
0173,國立中興大學,物理學系光電物理組,物x1.50 數甲x1.50 英x1.50 化x1.00 國x1.00,13,286.50,-----
0174,國立中興大學,應用數學系應用數學組,數甲x2.00 英x1.50 物x1.50 國x1.00 化x1.00,19,281.00,-----
0175,國立中興大學,應用數學系數據科學與計算組,數甲x2.00 英x1.50 物x1.50 國x1.00 化x1.00,22,284.50,-----
0176,國立中興大學,機械工程學系,數甲x2.00 物x2.00 英x1.50 化x1.00 國x1.00,41,319.00,-----
0177,國立中興大學,土木工程學系,數Ax2.00 物x2.00 英x1.50 國x1.00,43,273.50,-----
0200,國立中興大學,環境工程學系,化x1.50 數甲x1.50 物x1.50 英x1.00 國x1.00,12,266.50,-----
0201,國立中興大學,化學工程學系,物x1.00 化x1.00 數甲x1.00 英x1.00 國x1.00,32,222.00,-----
"系組
代碼",校名,系組名,採計及加權,"錄取人數
(含外加)","普通生
錄取分數","原住民
錄取分數"
0202,國立中興大學,材料科學與工程學系,物x1.00 化x1.00 英x1.00 數甲x1.00 國x1.00,27,226.00,-----
0203,國立中興大學,智慧創意工程學士學位學程,數甲x1.50 英x1.00 物x1.00 國x1.00 化x1.00,3,242.00,-----
0204,國立中興大學,電機工程學系甲組,數甲x1.00 物x1.00 英x1.00 化x1.00 國x1.00,4,252.00,253.80
