113學年度大學分發入學    各系組最低錄取標準及錄取人數一覽表,,,,,,
"系組
代碼",校名,系組名,採計及加權,"錄取人數
(含外加)","普通生
錄取分數","原住民
錄取分數"
1636,長庚大學,醫學系(自費),生x1.00 英x1.00 化x1.00 數甲x1.00 物x1.00,46,273.00,311.85
1637,長庚大學,醫學系(公費),生x1.00 英x1.00 化x1.00 數甲x1.00 物x1.00,4,260.00,-----
1640,長庚大學,中醫學系,生x1.00 英x1.00 化x1.00 數甲x1.00 國x1.00,12,272.00,279.45
1641,長庚大學,護理學系,英x1.50 生x1.50 國x1.00 化x1.00,34,200.00,-----
1642,長庚大學,醫學生物技術暨檢驗學系,生x1.50 化x1.50 英x1.00 數Ax1.00,20,220.50,-----
1643,長庚大學,醫學影像暨放射科學系,物x1.25 英x1.25 數甲x1.25 生x1.00 化x1.00,14,219.75,253.05
1644,長庚大學,物理治療學系,英x1.50 生x1.50 物x1.25 化x1.00,19,245.25,-----
1645,長庚大學,職能治療學系,英x1.00 生x1.50 國x1.25,19,189.00,-----
1646,長庚大學,生物醫學系,化x2.00 生x2.00 英x2.00 數甲x1.00 物x1.00,26,289.00,-----
1647,長庚大學,呼吸治療學系,生x1.50 英x1.00 化x1.00,20,152.00,-----
1650,長庚大學,電機工程學系,物x1.50 數甲x1.50 英x1.25 國x1.00,32,208.50,-----
1651,長庚大學,機械工程學系,物x1.25 數甲x1.00 英x1.00,19,109.25,-----
1652,長庚大學,化工與材料工程學系,數甲x1.00 英x1.00 化x1.00 物x1.00,23,148.00,-----
1653,長庚大學,電子工程學系,物x1.00 數甲x1.00 化x1.00 英x1.00,36,143.00,-----
1654,長庚大學,資訊工程學系,數甲x1.00 物x1.00 英x1.00 國x1.00,22,158.00,-----
"系組
代碼",校名,系組名,採計及加權,"錄取人數
(含外加)","普通生
錄取分數","原住民
錄取分數"
1655,長庚大學,生物醫學工程學系,數甲x1.25 物x1.00 化x1.00 英x1.00,17,161.00,-----
1656,長庚大學,人工智慧學系,數甲x1.50 英x1.00 國x1.00,12,133.50,-----
1657,長庚大學,醫務管理學系,英x1.50 國x1.00 公x1.00,25,127.50,-----
1660,長庚大學,工商管理學系(數智商務組),英x2.00 國x1.00 公x1.00,15,108.00,-----
1661,長庚大學,工商管理學系(工商創業組),英x2.00 國x1.00 歷x1.00,12,101.00,-----
1662,長庚大學,工業設計學系,英x2.00 國x1.00 公x1.00,14,116.00,-----
1663,長庚大學,資訊管理學系,英x2.00 國x1.25 公x1.00,27,146.75,-----
1664,長庚大學,數位金融科技學系(甲組),數甲x2.00 英x2.00 國x1.00,8,191.00,-----
1665,長庚大學,數位金融科技學系(乙組),英x2.00 國x1.00 公x1.00,8,122.00,-----
1666,國立臺中教育大學,教育學系,國x1.50 數Bx1.50 英x1.00 歷x1.00,27,179.00,191.30
1667,國立臺中教育大學,特殊教育學系,國x1.00 英x1.00 數Bx1.00 公x1.00,20,137.00,-----
1670,國立臺中教育大學,幼兒教育學系,國x2.00 英x1.50 公x1.00,21,172.00,173.55
1671,國立臺中教育大學,體育學系,數Bx2.00 國x2.00 英x2.00 生x1.00 術x1.00,12,216.68,-----
1672,國立臺中教育大學,語文教育學系,國x2.00 歷x1.25 英x1.25 地x1.00 數Bx1.00,16,241.00,-----
1673,國立臺中教育大學,區域與社會發展學系,歷x2.00 地x2.00 公x2.00 國x1.00 英x1.00,34,341.00,-----
1674,國立臺中教育大學,諮商與應用心理學系,國x2.00 英x2.00 公x1.00,34,217.00,219.85
1675,國立臺中教育大學,美術學系,術x2.00 國x1.00 英x1.00 歷x1.00 數Bx1.00,11,228.74,-----
1676,國立臺中教育大學,音樂學系,術x2.00 英x1.00 國x1.00 歷x1.00,7,209.20,-----
1677,國立臺中教育大學,台灣語文學系,國x1.00 英x1.00 歷x1.00 地x1.00,26,147.00,-----
1700,國立臺中教育大學,英語學系,英x2.00 歷x1.00 數Bx1.00,27,123.00,-----
1701,國立臺中教育大學,數學教育學系,數Ax1.50 國x1.00 英x1.00 物x1.00,14,150.00,-----
1702,國立臺中教育大學,科學教育與應用學系,英x1.00 國x1.00 化x2.00 物x2.00 數甲x1.00,28,209.00,-----
1703,國立臺中教育大學,資訊工程學系,數甲x1.25 英x1.25 國x1.00,27,139.50,153.35
1704,國立臺中教育大學,數位內容科技學系,數Bx1.50 英x1.00 國x1.00 物x1.00,22,162.00,-----
1705,國立臺中教育大學,國際企業學系,英x1.50 國x1.25 公x1.00,34,147.50,148.40
1706,國立臺中教育大學,文化創意產業設計與營運學系,英x2.00 公x2.00 國x1.00,33,176.00,-----
1707,國立臺北教育大學,教育學系,國x1.50 英x1.50 數Bx1.25 歷x1.00 公x1.00,21,257.75,262.25
1710,國立臺北教育大學,教育經營與管理學系,英x1.50 國x1.50 數Bx1.50 公x1.00,18,217.00,-----
1711,國立臺北教育大學,幼兒與家庭教育學系,國x1.50 英x1.50 數Bx1.00 歷x1.00 地x1.00,24,233.50,-----
1712,國立臺北教育大學,特殊教育學系(文組),英x2.00 國x1.50 地x1.50 數Bx1.00,12,241.50,-----
1713,國立臺北教育大學,特殊教育學系(理組),英x2.00 國x1.50 物x1.50 數Ax1.00,11,220.00,-----
1714,國立臺北教育大學,心理與諮商學系,數Bx1.50 英x1.25 國x1.25 公x1.00 歷x1.00,25,260.50,310.90
1715,國立臺北教育大學,社會與區域發展學系,英x2.00 數Bx1.00 國x1.00 地x1.50 歷x1.50,30,280.00,-----
"系組
代碼",校名,系組名,採計及加權,"錄取人數
(含外加)","普通生
錄取分數","原住民
錄取分數"
1716,國立臺北教育大學,兒童英語教育學系,英x2.00 國x1.00 數Bx1.00 歷x1.00,16,200.00,-----
1717,國立臺北教育大學,語文與創作學系語文師資組,國x2.00 英x1.25 歷x1.00 數Bx1.00,22,208.50,-----
1720,國立臺北教育大學,語文與創作學系文學創作組,國x2.00 英x1.25 歷x1.00,26,183.75,188.95
1721,國立臺北教育大學,文化創意產業經營學系,社x1.50 英x1.50 國x1.50 地x1.00 歷x1.00,22,278.50,-----
1722,國立臺北教育大學,藝術與造形設計學系設計組,英x1.50 數Bx2.00 國x1.25 歷x1.00,27,204.75,217.60
1723,國立臺北教育大學,藝術與造形設計學系藝術組,國x1.50 英x1.50 歷x1.00 數Bx1.00,16,181.50,-----
1724,國立臺北教育大學,數學暨資訊教育學系數學組,數甲x2.00 國x1.50 英x1.00,9,181.50,-----
1725,國立臺北教育大學,"數學暨資訊教育學系人工智慧與資訊教
育組",數甲x2.00 英x1.50 國x1.25,11,192.75,-----
1726,國立臺北教育大學,自然科學教育學系,物x2.00 化x2.00 數甲x1.00 英x2.00,10,250.00,-----
1727,國立臺北教育大學,數位科技設計學系(創意設計組),英x1.00 國x1.00 公x1.00,9,140.00,-----
1730,國立臺北教育大學,數位科技設計學系(資訊應用組),數甲x1.50 英x1.50 國x1.00,8,165.50,-----
1731,國立臺北教育大學,資訊科學系,數甲x2.00 英x2.00 物x2.00 國x1.00,20,272.00,-----
1732,國立臺北教育大學,體育學系(男),生x2.00 數Bx1.50 國x1.00 英x1.00 術x1.00,10,199.07,-----
1733,國立臺北教育大學,體育學系(女),生x2.00 數Bx1.50 國x1.00 英x1.00 術x1.00,7,152.17,-----
1734,國立臺南大學,教育學系,公x2.00 國x1.50 英x1.00 數Bx1.00,42,201.00,205.10
1735,國立臺南大學,諮商與輔導學系,國x1.50 英x1.50 數Bx1.50 公x1.00,26,211.00,-----
1736,國立臺南大學,特殊教育學系,英x1.50 數Bx1.50 公x1.00,26,101.50,-----
1737,國立臺南大學,幼兒教育學系,國x2.00 英x1.50 數Bx1.00 公x1.00,23,178.50,187.40
1740,國立臺南大學,體育學系,術x1.00 國x2.00 數Bx2.00 英x1.00 生x1.00,4,198.87,-----
1741,國立臺南大學,文化與自然資源學系,歷x2.00 地x2.00 國x1.00,25,206.00,-----
1742,國立臺南大學,國語文學系,國x2.00 數Bx1.00 歷x1.00,44,145.00,-----
1743,國立臺南大學,英語學系,英x2.00 國x1.25 歷x1.00 地x1.00,32,184.50,-----
1744,國立臺南大學,應用數學系,數甲x2.00 自x1.50 英x1.00,24,154.50,-----
1745,國立臺南大學,數位學習科技學系(數位學習系統組),數甲x2.00 英x1.75 國x1.50 物x1.00,11,221.75,-----
1746,國立臺南大學,數位學習科技學系(數位學習內容組),英x1.75 國x1.50 數Bx1.00 地x1.00,10,178.50,-----
1747,國立臺南大學,材料科學系,物x1.50 化x1.50 數甲x1.00 英x1.00 國x1.00,28,227.00,-----
1750,國立臺南大學,資訊工程學系,數甲x1.00 英x2.00 物x1.50,26,171.50,-----
1751,國立臺南大學,電機工程學系,數甲x1.00 英x1.50 物x1.00 國x1.00,26,181.00,-----
1752,國立臺南大學,綠色能源科技學系,數甲x1.50 物x1.50 英x1.00,10,127.50,-----
1753,國立臺南大學,生物科技學系,生x2.00 國x2.00 化x1.00,19,200.00,-----
1754,國立臺南大學,生態暨環境資源學系,地x1.00 英x1.00 國x1.00,23,103.00,103.95
"系組
代碼",校名,系組名,採計及加權,"錄取人數
(含外加)","普通生
錄取分數","原住民
錄取分數"
1755,國立臺南大學,音樂學系,術x2.00 英x1.00 歷x1.00,1,179.44,-----
1756,國立臺南大學,視覺藝術與設計學系,術x2.00 國x2.00 英x1.00 歷x1.00,11,247.20,-----
1757,國立臺南大學,戲劇創作與應用學系(男),國x2.00 英x2.00 歷x1.00,6,138.00,-----
1760,國立臺南大學,戲劇創作與應用學系(女),國x2.00 英x2.00 歷x1.00,16,154.00,158.65
1761,國立臺南大學,行政管理學系,國x1.50 英x1.50 數Bx1.00 公x1.00 歷x1.00,20,222.50,-----
1762,國立臺南大學,經營與管理學系,英x2.00 數Bx1.50 公x1.50 國x1.00,26,201.50,-----
1763,國立東華大學,應用數學系數學科學組,數甲x1.50 英x1.00 國x1.00,15,102.00,-----
1764,國立東華大學,應用數學系統計科學組,數甲x1.50 英x1.00 國x1.00,23,101.00,-----
1765,國立東華大學,物理學系物理組,物x1.00 數甲x1.00 英x1.00 化x1.00 國x1.00,26,143.00,-----
1766,國立東華大學,物理學系奈米與光電科學組,物x1.00 數甲x1.00 英x1.00 化x1.00 國x1.00,16,154.00,-----
1767,國立東華大學,化學系,化x2.00 英x1.00 數甲x1.00 物x1.00,36,128.00,-----
1770,國立東華大學,生化暨分子醫學科學系,生x1.75 化x1.50 英x1.75 國x1.00,28,177.75,-----
1771,國立東華大學,資訊工程學系資工組,數甲x1.50 英x1.25 國x1.00,28,142.50,144.65
1772,國立東華大學,資訊工程學系國際組,英x1.50 數甲x1.25 國x1.00,9,145.75,149.10
1773,國立東華大學,電機工程學系智慧系統組,數甲x1.00 英x1.00 國x1.00,14,117.00,-----
1774,國立東華大學,電機工程學系半導體工程組,物x1.00 數甲x1.00 英x1.00 國x1.00,16,150.00,-----
1775,國立東華大學,材料科學與工程學系,物x1.00 化x1.00 英x1.00 數甲x1.00,42,112.00,-----
1776,國立東華大學,光電工程學系,物x1.50 數甲x1.00 英x1.00 化x1.00 國x1.00,33,165.50,-----
1777,國立東華大學,理工學院大數據科學國際學士班,數甲x1.50 英x1.50 國x1.00,16,115.50,-----
2000,國立東華大學,企業管理學系,英x1.50 數Bx1.50 國x1.00 公x1.00,36,116.00,123.00
2001,國立東華大學,會計學系,英x2.00 數Bx1.50 國x1.00 公x1.00,40,133.50,-----
2002,國立東華大學,資訊管理學系,英x2.00 國x2.00 公x1.00,30,162.00,-----
2003,國立東華大學,國際企業學系,英x2.00 數Bx1.75 國x1.00 公x1.00,28,121.50,126.65
2004,國立東華大學,財務金融學系,公x1.50 數Bx1.50 英x1.50 國x1.00,32,171.50,202.00
2005,國立東華大學,觀光暨休閒遊憩學系,英x2.00 國x1.50 地x1.50 數Bx1.00,31,94.50,-----
2006,國立東華大學,"管理學院管理科學與財金國際學士學位
學程",英x2.00 數Bx1.00 國x1.00 公x1.00,8,138.00,-----
2007,國立東華大學,管理學院會計與資訊管理國際學士班,英x2.00 國x1.50 公x1.00,7,101.00,-----
2010,國立東華大學,"管理學院數位行銷與服務創新國際學士
班",英x2.00 數Bx1.75 公x1.00,9,59.50,-----
2011,國立東華大學,華文文學系,國x2.00 歷x2.00 英x1.00,16,105.00,-----
2012,國立東華大學,中國語文學系,國x2.00 歷x1.50 地x1.00,15,125.50,-----
2013,國立東華大學,英美語文學系,英x2.00 國x1.25 公x1.00,23,70.00,-----
2014,國立東華大學,臺灣文化學系,地x2.00 歷x2.00 國x1.50 英x1.00,0,-----,-----
"系組
代碼",校名,系組名,採計及加權,"錄取人數
(含外加)","普通生
錄取分數","原住民
錄取分數"
2015,國立東華大學,歷史學系,歷x2.00 公x2.00 社x1.00,21,177.00,-----
2016,國立東華大學,經濟學系,數Bx1.00 英x1.00 國x1.00 公x1.00,36,100.00,-----
2017,國立東華大學,諮商與臨床心理學系(自然組),英x1.50 數甲x1.50 國x1.00,22,127.50,-----
2020,國立東華大學,諮商與臨床心理學系(社會組),英x1.50 數Bx1.50 國x1.00 公x1.00,12,170.00,-----
2021,國立東華大學,社會學系,國x1.50 英x2.00 公x2.00,22,160.50,166.65
2022,國立東華大學,公共行政學系,國x2.00 公x2.00 英x1.50,15,201.00,208.90
2023,國立東華大學,法律學系,英x1.00 公x1.50 國x2.00,20,194.50,197.60
2024,國立東華大學,體育與運動科學系,國x1.00 數Bx1.00 英x1.00 生x1.00,6,106.00,-----
2025,國立東華大學,教育與潛能開發學系,國x2.00 公x1.00 數Bx1.00,14,75.00,-----
2026,國立東華大學,教育行政與管理學系,國x2.00 英x2.00 數Bx1.50 公x1.00 歷x1.00,15,116.00,-----
2027,國立東華大學,特殊教育學系,公x2.00 歷x1.00 國x1.00,15,128.00,-----
2030,國立東華大學,幼兒教育學系,國x2.00 公x1.75 歷x1.75,13,193.50,-----
2031,國立東華大學,族群關係與文化學系,公x2.00 國x1.50 英x1.00,6,90.00,-----
2032,國立東華大學,民族語言與傳播學系,國x1.00 社x1.00 公x1.00,6,63.00,-----
2033,國立東華大學,民族發展與社會工作學系民族發展組,社x2.00 公x1.50 國x1.00,3,101.50,-----
2034,國立東華大學,民族發展與社會工作學系社會工作組,公x2.00 社x1.50 國x1.00,7,150.00,-----
2035,國立東華大學,原住民族樂舞與藝術學士學位學程,國x2.00 公x2.00 歷x1.00,0,-----,-----
2036,國立東華大學,"自然資源與環境學系環境管理與環境教
育組",地x2.00 英x1.00 國x2.00,7,174.00,-----
2037,國立東華大學,自然資源與環境學系生態與保育組,生x2.00 國x2.00 英x1.00,8,168.00,-----
2040,國立東華大學,自然資源與環境學系地球科學組,化x2.00 國x2.00 英x1.00,7,166.00,-----
2041,國立東華大學,縱谷跨域書院學士學位學程,國x2.00 公x1.75 歷x1.50,8,139.75,-----
2042,國立東華大學,音樂學系,術x2.00 國x1.00 英x1.00 歷x1.00,0,-----,-----
2043,國立東華大學,藝術與設計學系,國x2.00 英x1.00 歷x1.00,18,119.00,-----
2044,國立東華大學,藝術創意產業學系,國x2.00 歷x2.00 公x1.00,19,130.00,-----
2045,臺北市立大學,教育學系,國x2.00 英x2.00 數Bx2.00 歷x1.00 地x1.00,21,294.00,314.80
2046,臺北市立大學,特殊教育學系,國x2.00 數Bx1.50 英x1.50 公x1.00,18,212.50,-----
2047,臺北市立大學,幼兒教育學系,英x2.00 國x2.00 歷x1.00 地x1.00,22,237.00,-----
2050,臺北市立大學,心理與諮商學系,英x2.00 國x1.50 數Bx1.50 公x1.00,17,250.00,-----
2051,臺北市立大學,學習與媒材設計學系,國x2.00 數Bx1.50 英x2.00 歷x1.00 地x1.00,16,273.50,-----
2052,臺北市立大學,中國語文學系,國x2.00 歷x1.00 英x1.00,27,166.00,-----
2053,臺北市立大學,歷史與地理學系,國x1.50 歷x1.50 地x1.50 數Bx1.00 英x1.00,22,257.50,258.65
2054,臺北市立大學,英語教學系,英x2.00 國x1.25 數Bx1.00 地x1.00,15,193.00,-----
2055,臺北市立大學,社會暨公共事務學系,公x2.00 國x1.50 英x1.50 歷x1.00,18,268.00,-----
"系組
代碼",校名,系組名,採計及加權,"錄取人數
(含外加)","普通生
錄取分數","原住民
錄取分數"
2056,臺北市立大學,音樂學系,術x2.00 英x1.00 國x1.00 歷x1.00,2,279.34,-----
2057,臺北市立大學,視覺藝術學系,術x2.00 國x2.00 英x1.00 數Bx1.00 歷x1.00,22,234.00,-----
2060,臺北市立大學,應用物理暨化學系電子物理組,物x1.50 化x1.50 英x1.25 數甲x1.00 國x1.00,8,248.25,-----
2061,臺北市立大學,應用物理暨化學系應用化學組,化x1.50 物x1.50 英x1.25 數甲x1.00 國x1.00,10,243.00,-----
2062,臺北市立大學,地球環境暨生物資源學系,英x1.50 數甲x1.00 國x1.50 物x1.00 化x1.50,14,237.00,245.55
2063,臺北市立大學,數學系,數甲x2.00 物x1.00 英x1.00,23,138.00,-----
2064,臺北市立大學,資訊科學系,數甲x2.00 英x2.00 國x1.25 物x1.00,22,242.00,-----
2065,臺北市立大學,體育學系,英x2.00 術x1.50 國x1.00 生x1.00,6,214.36,229.10
2066,臺北市立大學,休閒運動管理學系,公x1.00 國x1.00 英x1.00,7,124.00,137.70
2067,臺北市立大學,運動健康科學系,英x1.50 生x1.00 國x1.00,6,142.00,-----
2070,臺北市立大學,城市發展學系,地x2.00 英x2.00 國x1.00,14,211.00,-----
2071,臺北市立大學,都會產業經營與行銷學系,英x2.00 數Bx2.00 國x1.00 公x1.00,8,229.00,-----
2072,臺北市立大學,衛生福利學系,英x2.00 生x2.00 數甲x1.00 國x1.50,26,225.50,-----
2073,國立屏東大學,教育學系,英x2.00 國x2.00 數Bx1.50 公x1.00,25,187.00,202.00
2074,國立屏東大學,幼兒教育學系,國x2.00 公x2.00 數Bx1.00,22,165.00,-----
2075,國立屏東大學,特殊教育學系,國x2.00 英x1.00 公x1.00,4,146.00,-----
2076,國立屏東大學,教育心理與輔導學系,國x1.25 英x1.25 公x1.00 數Bx1.00,18,151.75,157.45
2077,國立屏東大學,中國語文學系,國x2.00 歷x1.25 英x1.00,16,142.75,-----
2100,國立屏東大學,英語學系,英x2.00 國x1.00 歷x1.00,10,127.00,-----
2101,國立屏東大學,文化創意產業學系,國x2.00 英x1.00 歷x1.00,13,134.00,-----
2102,國立屏東大學,社會發展學系,公x1.00 國x1.00 英x1.00,20,95.00,-----
2103,國立屏東大學,應用英語學系,英x2.00 國x2.00 公x1.00,1,221.00,-----
2104,國立屏東大學,應用日語學系,英x2.00 國x2.00 公x1.00,2,201.00,-----
2105,國立屏東大學,視覺藝術學系數位媒體設計組,國x2.00 英x1.50 歷x1.50,4,186.50,-----
2106,國立屏東大學,商業大數據學系,英x1.00 數Bx1.00 公x1.00 國x1.00,11,120.00,-----
2107,國立屏東大學,行銷與流通管理學系,英x2.00 數Bx2.00 國x1.00 公x1.00,14,159.00,-----
2110,國立屏東大學,休閒事業經營學系,英x1.50 國x1.50 公x1.00 數Bx1.00,2,152.50,-----
2111,國立屏東大學,不動產經營學系,英x1.00 國x1.00 公x1.00,6,112.00,-----
2112,國立屏東大學,企業管理學系,英x1.50 數Bx1.50 國x1.00 公x1.00,11,148.00,-----
2113,國立屏東大學,國際經營與貿易學系,英x1.00 數Bx1.00 公x1.00 國x1.00,3,130.00,-----
2114,國立屏東大學,財務金融學系,數Bx1.00 英x1.00 國x1.00 公x1.00,18,137.00,-----
2115,國立屏東大學,會計學系,英x2.00 國x2.00 數Bx1.50 公x1.00,16,207.00,-----
2116,國立屏東大學,應用化學系,化x2.00 英x1.50 數甲x1.50,19,154.00,-----
"系組
代碼",校名,系組名,採計及加權,"錄取人數
(含外加)","普通生
錄取分數","原住民
錄取分數"
2117,國立屏東大學,應用數學系,數甲x2.00 英x1.00 國x1.00,16,125.00,-----
2120,國立屏東大學,應用物理系半導體組,物x2.00 數甲x1.75 英x1.00 國x1.00,14,185.50,-----
2121,國立屏東大學,應用物理系光電暨材料組,物x2.00 數甲x1.75 英x1.00 國x1.00 化x1.00,14,206.25,-----
2122,國立屏東大學,科學傳播學系,國x1.50 自x1.25 英x1.00 物x1.00,15,151.25,-----
2123,國立屏東大學,智慧機器人學系,數Ax2.00 物x2.00 英x1.00,9,152.00,-----
2124,國立屏東大學,電腦與通訊學系,數Ax2.00 英x2.00 國x1.00 物x1.00,1,212.00,-----
2125,國立屏東大學,資訊工程學系,數Ax2.00 英x2.00 國x1.00 物x1.00,27,210.00,-----
2126,國立屏東大學,電腦科學與人工智慧學系,數甲x2.00 英x2.00 國x1.00,18,167.00,-----
2127,國立屏東大學,資訊管理學系,英x2.00 數Bx2.00 國x1.00 公x1.00,2,202.00,-----
2130,國立屏東大學,音樂學系,術x2.00 英x1.00 國x1.00 歷x1.00,1,226.20,-----
2131,國立屏東大學,視覺藝術學系美術組,術x2.00 國x1.50 英x1.50 歷x1.00,4,180.60,-----
2132,國立屏東大學,體育學系,術x2.00 數Bx1.00 生x1.00,9,196.94,-----
2133,國立臺東大學,全校不分系學士學位學程,國x1.50 英x1.00 公x1.00,6,103.50,-----
2134,國立臺東大學,教育學系,國x1.50 數Bx1.00 公x1.00,17,77.00,-----
2135,國立臺東大學,體育學系,國x2.00 英x1.50 公x1.00 數Bx1.00,4,138.50,-----
2136,國立臺東大學,幼兒教育學系,國x2.00 英x2.00 數Bx1.75 公x1.00,13,96.25,-----
2137,國立臺東大學,特殊教育學系,國x2.00 英x1.00 公x1.00 數Bx1.00,7,105.00,-----
2140,國立臺東大學,文化資源與休閒產業學系,國x1.50 歷x1.25 公x1.00,10,98.75,-----
2141,國立臺東大學,數位媒體與文教產業學系,國x2.00 英x1.00 公x1.00,10,86.00,-----
2142,國立臺東大學,競技與運動科學學系,生x1.50 國x1.00 英x1.00,4,101.50,120.15
2143,國立臺東大學,公共與文化事務學系,社x2.00 公x1.50 歷x1.00,22,123.00,-----
2144,國立臺東大學,身心整合與運動休閒產業學系,國x1.50 英x1.00 公x1.00,7,79.00,99.05
2145,國立臺東大學,英美語文學系,英x2.00 國x2.00 公x1.00 數Bx1.00,9,111.00,-----
2146,國立臺東大學,華語文學系,國x2.00 英x1.50 歷x1.00,5,114.00,-----
2147,國立臺東大學,美術產業學系,術x2.00 國x1.00 歷x1.00,3,203.00,-----
2150,國立臺東大學,音樂學系,國x2.00 英x1.50 歷x1.00,3,130.00,-----
2151,國立臺東大學,生命科學系,生x2.00 化x1.50 國x1.00,11,142.50,-----
2152,國立臺東大學,資訊工程學系,數甲x2.00 英x2.00 國x1.50,32,175.50,-----
2153,國立臺東大學,資訊管理學系,英x2.00 數Bx2.00 公x1.75 國x1.00,20,160.25,-----
2154,國立臺東大學,應用數學系,數甲x2.00 國x1.00 英x1.00,17,105.00,-----
2155,國立臺東大學,應用科學系化學及奈米科學組,化x2.00 數Ax1.00 物x1.00,10,109.00,-----
2156,國立臺東大學,應用科學系應用物理組,物x2.00 數Ax1.25 化x1.00,11,115.00,-----
2157,國立臺東大學,綠能與資訊科技學系,物x2.00 國x1.00 數Bx1.00,5,118.00,-----
"系組
代碼",校名,系組名,採計及加權,"錄取人數
(含外加)","普通生
錄取分數","原住民
錄取分數"
2160,國立體育大學,體育推廣學系A,英x2.00 國x2.00 數Bx1.50 公x1.00,8,189.00,-----
2161,國立體育大學,體育推廣學系B,英x1.00 國x2.00 術x2.00 數Bx1.00 公x1.00,7,299.00,-----
2162,國立體育大學,運動保健學系A,英x2.00 生x1.75 國x2.00 自x1.00,11,233.75,-----
2163,國立體育大學,運動保健學系B,英x2.00 生x1.75 術x1.00 國x2.00 自x1.00,14,235.39,-----
2164,國立體育大學,休閒產業經營學系,國x2.00 英x2.00 地x1.00,25,145.00,-----
2165,國立體育大學,適應體育學系A,英x2.00 國x2.00 生x1.75,2,203.25,-----
2166,國立體育大學,適應體育學系B,英x2.00 國x2.00 公x1.75,3,188.75,-----
2167,元智大學,護理學系,生x1.00 國x1.00 英x1.00,22,93.00,93.50
2170,元智大學,"管理學院學士班(主修：數位行銷與人力
資源)",國x2.00 公x1.75 數Bx1.00,22,137.75,-----
2171,元智大學,管理學院學士班(主修：財務金融),公x1.50 國x1.00 數Bx1.00,45,106.00,-----
2172,元智大學,管理學院學士班(主修：國際企業管理),公x2.00 國x1.50 英x1.00 數Bx1.00,28,144.50,-----
2173,元智大學,管理學院學士班(主修：會計),公x2.00 國x1.50 數Bx1.00,11,147.00,-----
2174,元智大學,管理學院學士班(英語專班),英x1.00 公x1.50 國x1.00 數Bx1.00,4,106.00,-----
2175,元智大學,應用外語學系,英x1.50 國x1.00 歷x1.00,19,85.50,-----
2176,元智大學,中國語文學系,國x2.00 歷x1.00 英x1.00,19,99.00,-----
2177,元智大學,社會暨政策科學學系,公x2.00 國x2.00 數Bx1.00,13,138.00,-----
2200,元智大學,藝術與設計學系,英x1.00 國x1.00 公x1.00 數Bx1.00,8,102.00,-----
2201,元智大學,人文社會學院英語學士班,英x1.50 國x1.00 公x1.00,6,68.00,-----
2202,元智大學,資訊管理學系(社會組),英x2.00 數Bx1.50 國x1.00 公x1.50,20,203.50,-----
2203,元智大學,資訊管理學系(自然組),英x2.00 數Ax1.50 國x1.50 物x1.00,13,217.50,-----
2204,元智大學,資訊傳播學系科技組(智慧科技應用),國x1.50 英x1.00 數Bx1.00 公x1.00,24,117.00,140.85
2205,元智大學,資訊傳播學系設計組(創作組),國x1.50 英x1.00 公x1.00 數Bx1.00,8,124.50,-----
2206,元智大學,資訊傳播學系設計組(美術組),術x2.00 國x1.00 英x1.00 公x1.00 數Bx1.00,3,221.00,-----
2207,元智大學,資訊工程學系,數甲x1.00 英x1.00 國x1.00,39,119.00,121.50
2210,元智大學,資訊學院英語學士班,數甲x1.00 英x1.00 國x1.50,8,133.00,-----
2211,元智大學,機械工程學系,數甲x1.00 物x1.00 自x1.00 國x1.00,65,134.00,-----
2212,元智大學,化學工程與材料科學學系,數甲x1.00 物x1.00 化x1.00 國x1.00,33,137.00,-----
2213,元智大學,工業工程與管理學系(A組),數甲x1.25 英x1.00 國x1.00,16,106.75,-----
2214,元智大學,工業工程與管理學系(B組),英x1.50 國x1.50 公x1.00,16,136.00,-----
2215,元智大學,工程學院英語學士班,數甲x1.00 英x1.00 國x1.00,6,105.00,-----
2216,元智大學,電機工程學系(甲組),數甲x1.00 英x1.00 國x1.00,43,121.00,130.90
2217,元智大學,電機工程學系(乙組),數甲x1.00 自x1.00 國x2.00,34,171.00,-----
2220,元智大學,電機工程學系(丙組),數甲x1.00 英x1.00 國x2.00,22,164.00,-----
"系組
代碼",校名,系組名,採計及加權,"錄取人數
(含外加)","普通生
錄取分數","原住民
錄取分數"
2221,元智大學,電機通訊學院英語學士班,英x1.75 數甲x1.00 國x1.25,12,153.50,-----
2222,國立中正大學,中國文學系,國x2.00 英x1.25 歷x1.00 地x1.00,29,234.25,-----
2223,國立中正大學,外國語文學系,英x2.00 國x1.00 歷x1.00 地x1.00,23,227.00,-----
2224,國立中正大學,歷史學系,歷x2.00 國x1.50 英x1.50 地x1.00,19,272.00,-----
2225,國立中正大學,哲學系,英x2.00 數Bx2.00 國x1.50 公x1.00,20,252.50,-----
2226,國立中正大學,社會福利學系,英x1.50 數Bx1.50 公x1.50 國x1.00,19,217.50,-----
2227,國立中正大學,勞工關係學系,英x2.00 國x1.50 公x1.50 數Bx1.00 歷x1.00,22,296.00,-----
2230,國立中正大學,政治學系,英x2.00 社x1.00 國x1.00 公x1.00 數Bx1.00,18,260.00,-----
2231,國立中正大學,傳播學系,公x1.00 歷x1.00 英x1.00 國x1.00,23,181.00,233.55
2232,國立中正大學,經濟學系,數Bx2.00 英x2.00 公x1.50 國x1.00,40,275.50,-----
2233,國立中正大學,財務金融學系,英x2.00 數Bx2.00 公x1.00,38,209.00,-----
